official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
zong ren fu zong zheng,宗人府宗正,Associate Director of the Court of the Imperial Clan,皇族宮廷類,宗室門,宗人府
zong ren fu zuo zong ren,宗人府左宗人,Left Assistant Director of the Court of the Imperial Clan,皇族宮廷類,宗室門,宗人府
zong ren fu zuo zong zheng,宗人府左宗正,Left Associate Director of the Court of the Imperial Clan,皇族宮廷類,宗室門,宗人府
zhang shi si dian bu,長史司典簿,,皇族宮廷類,宗室門,王府長史司
zhang shi si you chang shi,長史司右長史,,皇族宮廷類,宗室門,王府長史司
zhang shi si zuo chang shi,長史司左長史,,皇族宮廷類,宗室門,王府長史司
wang fu cang da shi,王府倉大使,,皇族宮廷類,宗室門,王府長史司
wang fu cang da shi fu shi,王府倉大使副使,,皇族宮廷類,宗室門,王府長史司
wang fu dian bao suo dian bao ,王府典寶所典寶,,皇族宮廷類,宗室門,王府長史司
wang fu dian bao suo fu dian bao ,王府典寶所副典寶,,皇族宮廷類,宗室門,王府長史司
wang fu dian bu,王府典簿,,皇族宮廷類,宗室門,王府長史司
wang fu dian shan suo dian shan,王府典膳所典膳,,皇族宮廷類,宗室門,王府長史司
wang fu dian shan suo fu dian shan,王府典膳所副典膳,,皇族宮廷類,宗室門,王府長史司
wang fu dian yi suo dian yi,王府典儀所典儀,,皇族宮廷類,宗室門,王府長史司
wang fu dian yi suo fu dian yi,王府典儀所副典儀,,皇族宮廷類,宗室門,王府長史司
wang fu dian yi yin li she ren,王府典儀引禮舍人,,皇族宮廷類,宗室門,王府長史司
wang fu feng ci suo dian yue,王府奉祠所典樂,,皇族宮廷類,宗室門,王府長史司
wang fu feng ci suo feng ci,王府奉祠所奉祠,,皇族宮廷類,宗室門,王府長史司
wang fu feng ci suo fu feng ci,王府奉祠所副奉祠,,皇族宮廷類,宗室門,王府長史司
wang fu gong zheng suo fu gong zheng,王府工正所副工正,,皇族宮廷類,宗室門,王府長史司
wang fu gong zheng suo gong zheng,王府工正所工正,,皇族宮廷類,宗室門,王府長史司
wang fu ji shan suo ji shan,王府紀善所紀善,,皇族宮廷類,宗室門,王府長史司
wang fu ku da shi,王府庫大使,,皇族宮廷類,宗室門,王府長史司
wang fu ku da shi fu shi,王府庫大使副使,,皇族宮廷類,宗室門,王府長史司
wang fu liang yi suo fu liang yi,王府良醫所副良醫,,皇族宮廷類,宗室門,王府長史司
wang fu liang yi suo liang yi,王府良醫所良醫,,皇族宮廷類,宗室門,王府長史司
wang fu shen li suo fu shen li,王府審理所副審理,,皇族宮廷類,宗室門,王府長史司
wang fu shen li suo shen li,王府審理所審理,,皇族宮廷類,宗室門,王府長史司
zhang shi,長史,Administrator,皇族宮廷類,宗室門,王府長史司
yin li she ren,引禮舍人,Houseman Receptionist,皇族宮廷類,宗室門,王府長史司
zhou fu ji shan,周府紀善,Moral Mentor of the Establishment of the Prince Zhou,皇族宮廷類,宗室門,王府長史司
zhou fu li guan,周府禮官,Erudite in the Establishment of the Prince Zhou,皇族宮廷類,宗室門,王府長史司
zhou fu zong zheng,周府宗正,Imperial Family Monitor of the Establishment of the Prince Zhou,皇族宮廷類,宗室門,王府長史司
dian yi suo yin li she ren,典儀所引禮舍人,Houseman Receptionist of the Ceremony Office,皇族宮廷類,宗室門,王府長史司
wang fu jiao shou,王府教授,,皇族宮廷類,宗室門,王相府
wang fu jiao shou,王府教授,,皇族宮廷類,宗室門,王相府
wang xiang fu dian bao zheng,王相府典寶正,,皇族宮廷類,宗室門,王相府
wang xiang fu dian ci zheng,王相府典祠正,,皇族宮廷類,宗室門,王相府
wang xiang fu dian fu zheng,王相府典服正,,皇族宮廷類,宗室門,王相府
wang xiang fu dian qian si,王相府典簽司,,皇族宮廷類,宗室門,王相府
wang xiang fu dian shan zheng,王相府典膳正,,皇族宮廷類,宗室門,王相府
wang xiang fu dian yi zheng,王相府典儀正,,皇族宮廷類,宗室門,王相府
wang xiang fu gong zheng,王相府工正,,皇族宮廷類,宗室門,王相府
wang xiang fu mu zheng,王相府牧正,,皇族宮廷類,宗室門,王相府
wang xiang fu wen fu,王相府文傅,,皇族宮廷類,宗室門,王相府
wang xiang fu wu fu,王相府武傅,,皇族宮廷類,宗室門,王相府
wang xiang fu yi zheng,王相府醫正,,皇族宮廷類,宗室門,王相府
wang xiang fu yin li she ren,王相府引禮舍人,,皇族宮廷類,宗室門,王相府
wang xiang fu you fu,王相府右傅,,皇族宮廷類,宗室門,王相府
wang xiang fu you xiang,王相府右相,,皇族宮廷類,宗室門,王相府
wang xiang fu zi yi guan,王相府諮議官,,皇族宮廷類,宗室門,王相府
wang xiang fu zuo fu,王相府左傅,,皇族宮廷類,宗室門,王相府
wang xiang fu zuo xiang,王相府左相,,皇族宮廷類,宗室門,王相府
can jun fu can jun,參軍府參軍,,皇族宮廷類,宗室門,王相府
can jun fu ji shan,參軍府紀善,,皇族宮廷類,宗室門,王相府
can jun fu lu shi,參軍府錄事,,皇族宮廷類,宗室門,王相府
jing jiang wang fu zi yi suo ji shi,靖江王府諮議所記室,,皇族宮廷類,宗室門,親王府
jing jiang wang fu zi yi suo jiao shou,靖江王府諮議所教授,,皇族宮廷類,宗室門,親王府
jing jiang wang fu zi yi suo zi yi,靖江王府諮議所諮議,,皇族宮廷類,宗室門,親王府
qin wang ban du,親王伴讀,,皇族宮廷類,宗室門,親王府
qin wang ban jiang,親王伴講,,皇族宮廷類,宗室門,親王府
qin wang ban shu,親王伴書,,皇族宮廷類,宗室門,親王府
qin wang bin fu,親王賓輔,,皇族宮廷類,宗室門,親王府
wang fu ban du,王府伴讀,Reader-companion of a Princely Establishment,皇族宮廷類,宗室門,親王府
wang fu ji shan,王府紀善,Moral Mentor of a Princely Establishment,皇族宮廷類,宗室門,親王府
wang fu jiang du guan,王府講讀官,Instructional Official of a Princely Establishment,皇族宮廷類,宗室門,親王府
wang fu jiang guan,王府講官,Lecturer in a Princely Establishment,皇族宮廷類,宗室門,親王府
wang fu xun dao,王府訓導,Assistant Instructor in a Princely Establishment,皇族宮廷類,宗室門,親王府
wang fu you zhang shi,王府右長史,Right Administrator of a Princely Establishment,皇族宮廷類,宗室門,親王府
wang fu zhang shi,王府長史,Administrator of a Princely Establishment,皇族宮廷類,宗室門,親王府
wang fu zuo zhang shi,王府左長史,Left Administrator of a Princely Establishment,皇族宮廷類,宗室門,親王府
zuo xiang,左相,Left Minister,皇族宮廷類,宗室門,親王府
jun wang bin you,郡王賓友,,皇族宮廷類,宗室門,郡王府
jun wang dian ci,郡王典祠,,皇族宮廷類,宗室門,郡王府
jun wang dian li,郡王典禮,,皇族宮廷類,宗室門,郡王府
jun wang dian yao ,郡王典藥,,皇族宮廷類,宗室門,郡王府
